title,slug,date,old_url,bucket,quality_score,word_count,comment_count,categories,tags
¿Qué es la innovación ?,¿que-es-la-innovacion,2007-03-16,/2007/03/16/%c2%bfque-es-la-innovacion/,C,,234,1,Tecnología,
Diagrama de la innovación,8,2007-03-16,/2007/03/16/8/,C,1,41,,Tecnología,
Realidad Española en uso de las TIC,realidad-espanola-en-uso-de-las-tic,2007-03-16,/2007/03/16/realidad-espanola-en-uso-de-las-tic/,C,1,73,,Tecnología,
Gasto total I+D por habitante en España,gasto-total-id-por-habitante-en-espana,2007-03-16,/2007/03/16/gasto-total-id-por-habitante-en-espana/,C,1,57,2,Tecnología,
Morirme??,morirme,2007-03-16,/2007/03/16/morirme/,C,,19,,Citas,
Las patentes en España,las-patentes-en-espana,2007-03-17,/2007/03/17/las-patentes-en-espana/,C,1,167,,Tecnología,
Factores Activos y Pasivos de una empresa,factores-activos-y-pasivos-de-una-empresa,2007-03-19,/2007/03/19/factores-activos-y-pasivos-de-una-empresa/,C,1,235,5,Empresa,
La nueva empresa,la-nueva-empresa,2007-03-19,/2007/03/19/la-nueva-empresa/,C,,167,,Empresa,
El tamaño de las empresas,el-tamano-de-las-empresas,2007-03-19,/2007/03/19/el-tamano-de-las-empresas/,C,,56,,Empresa,
Los estilos directivos,los-estilos-directivos,2007-03-19,/2007/03/19/los-estilos-directivos/,C,,37,,Empresa,
Los RRHH del futuro,los-rrhh-del-futuro,2007-03-19,/2007/03/19/los-rrhh-del-futuro/,C,,248,2,Empresa,
La cita,la-cita,2007-03-19,/2007/03/19/la-cita/,C,,20,,Citas,
La estrategía de las empresas tecnológicas,la-estrategia-de-las-empresas-tecnologicas,2007-03-19,/2007/03/19/la-estrategia-de-las-empresas-tecnologicas/,C,,89,,Tecnología,
¿ Por qué hay que tener blog ?,¿-por-que-los-lideres-tienen-que-tener-blog,2007-03-19,/2007/03/19/%c2%bf-por-que-los-lideres-tienen-que-tener-blog/,C,,187,,Tecnología,
“El éxito es algo tan sencillo como que tu madre te quiera y esté orgullosa de ti”.,“el-exito-es-algo-tan-sencillo-como-que-tu-madre-te-quiera-y-este-orgullosa-de-ti”,2007-03-19,/2007/03/19/%e2%80%9cel-exito-es-algo-tan-sencillo-como-que-tu-madre-te-quiera-y-este-orgullosa-de-ti%e2%80%9d/,C,,236,,Empresa; Tecnología,
Linus Torvalds y el Software libre,linus-torvalds-y-el-software-libre,2007-03-23,/2007/03/23/linus-torvalds-y-el-software-libre/,C,,307,1,Floss,
Velneo Conference 2006,velneo-conference-2006,2007-03-23,/2007/03/23/velneo-conference-2006/,C,,7,,Velneo,
Que necesita una empresa ?,que-necesita-una-empresa,2007-03-25,/2007/03/25/que-necesita-una-empresa/,C,,20,,Citas; Empresa,
Velneo. ¿Moda o Tendencia?,velneo-¿moda-o-tendencia,2007-03-25,/2007/03/25/velneo-%c2%bfmoda-o-tendencia/,C,,233,1,Empresa; Floss; Tecnología; Velneo,
Software libre = compartir conocimiento,software-libre-compartir-conocimiento-pero-distinto-de-gratis,2007-03-27,/2007/03/27/software-libre-compartir-conocimiento-pero-distinto-de-gratis/,C,,220,1,Empresa; Floss; Tecnología; Velneo,
"Innovación, aplicación / uso TIC y la competitividad.",innovacion-aplicacion-uso-tic-y-la-competitividad,2007-03-27,/2007/03/27/innovacion-aplicacion-uso-tic-y-la-competitividad/,C,1,190,,Empresa; Tecnología,
Exportaciones de Tecnología,exportaciones-de-tecnologia,2007-03-27,/2007/03/27/exportaciones-de-tecnologia/,C,1,96,,Tecnología,
Índice de crecimiento de la competitividad.,33-indice-de-crecimiento-de-la-competitividad,2007-03-29,/2007/03/29/33-indice-de-crecimiento-de-la-competitividad/,C,,95,,Tecnología,
El poder de decidir ¿decidimos?,el-poder-de-decidir-¿decidimos,2007-03-30,/2007/03/30/el-poder-de-decidir-%c2%bfdecidimos/,C,,208,,Empresa,
Medir la competitividad,medir-la-competitividad,2007-03-31,/2007/03/31/medir-la-competitividad/,C,,73,1,Empresa; Tecnología,
IMD World Competitiveness Yearbook 2006,imd-world-competitiveness-yearbook-2006,2007-03-31,/2007/03/31/imd-world-competitiveness-yearbook-2006/,C,1,212,,Tecnología,
IMD World Competitiveness Yearbook 2006 (variaciones),imd-world-competitiveness-yearbook-2006-variaciones,2007-03-31,/2007/03/31/imd-world-competitiveness-yearbook-2006-variaciones/,C,1,75,,Empresa; Tecnología,
El poder del fracaso.,el-poder-del-fracaso,2007-04-02,/2007/04/02/el-poder-del-fracaso/,C,1,321,3,Empresa,
"Inversión privada, publica y formación",inversion-privada-publica-y-formacion,2007-04-03,/2007/04/03/inversion-privada-publica-y-formacion/,C,,98,,Empresa; Tecnología,
Indicadores sobre innovación,indicadores-sobre-innovacion,2007-04-04,/2007/04/04/indicadores-sobre-innovacion/,C,1,175,,Tecnología,
El poder del tiempo,el-poder-del-tiempo,2007-04-08,/2007/04/08/el-poder-del-tiempo/,C,1,281,,Empresa; Tecnología,
Las constructoras españolas arrasan en Irlanda,las-constructoras-espanolas-arrasan-en-irlanda,2007-04-09,/2007/04/09/las-constructoras-espanolas-arrasan-en-irlanda/,C,,75,,Empresa; Tecnología,
La importancia de RRHH en la empresa Tecnológica,la-importancia-de-rrhh-en-la-empresa-tecnologica,2007-04-10,/2007/04/10/la-importancia-de-rrhh-en-la-empresa-tecnologica/,C,1,345,,Empresa; Tecnología,
LibreMeeting 2007,libremeeting-2007,2007-04-10,/2007/04/10/libremeeting-2007/,C,,75,1,Floss; Tecnología,
Por qué debemos rotar en los puestos?,por-que-debemos-rotar-en-los-puestos,2007-04-11,/2007/04/11/por-que-debemos-rotar-en-los-puestos/,C,,19,,Citas,
Innovación vs Diversidad,innovacion-vs-diversidad,2007-04-11,/2007/04/11/innovacion-vs-diversidad/,C,,34,,Citas; Tecnología,
Para vivir asi.....,para-vivir-asi,2007-04-11,/2007/04/11/para-vivir-asi/,C,,24,,Citas,
"Las 3I  (Irlanda, India e Israel )",las-3-i-irlanda-india-e-israel,2007-04-12,/2007/04/12/las-3-i-irlanda-india-e-israel/,C,1,369,,Empresa; Tecnología,
El poder de la ejecución.,el-poder-de-la-ejecucion,2007-04-13,/2007/04/13/el-poder-de-la-ejecucion/,C,1,247,,Empresa; Tecnología,
Las claves para trabajar en Equipo,las-claves-para-trabajar-en-equipo,2007-04-16,/2007/04/16/las-claves-para-trabajar-en-equipo/,C,1,96,,Empresa; Personas,
Linux World Conference,linux-world-conference,2007-04-17,/2007/04/17/linux-world-conference/,C,1,61,,Tecnología,
Llegada a Linux World,linux-world,2007-04-18,/2007/04/18/linux-world/,C,1,387,,Floss; Tecnología,
Implantación de Software Libre ayuntamiento Zaragoza,implantacion-de-software-libre-ayuntamiento-zaragoza,2007-04-18,/2007/04/18/implantacion-de-software-libre-ayuntamiento-zaragoza/,C,1,447,,Empresa; Floss; Tecnología,
Evaluación de la usabilidad en sistemas de información Web,evaluación-de-la-usabilidad-en-sistemas-de-informacion,2007-04-19,/2007/04/19/evaluacio%cc%81n-de-la-usabilidad-en-sistemas-de-informacion/,C,1,283,,Empresa; Tecnología,
Conclusiones del Evento Linux World,conclusiones-del-evento-linux-world,2007-04-19,/2007/04/19/conclusiones-del-evento-linux-world/,C,2,638,1,Floss,
Modelo de negocio del software Libre (FLOSS),model-de-negocio-del-software-libre-floss,2007-04-19,/2007/04/19/model-de-negocio-del-software-libre-floss/,C,1,97,,Floss,
¿Por qué la empatía?,¿por-que-la-empatia,2007-04-22,/2007/04/22/%c2%bfpor-que-la-empatia/,C,1,142,1,Empresa; Personas; Tecnología,
El poder de la fe,el-poder-de-la-fe,2007-04-24,/2007/04/24/el-poder-de-la-fe/,C,1,219,,Empresa; Personas,
World Economic Forum Anual Meeting,world-economic-forum-anual-meeting,2007-04-25,/2007/04/25/world-economic-forum-anual-meeting/,C,1,229,1,Empresa; Tecnología,
Renta per capita vs felicidad,renta-per-capita-vs-felicidad,2007-04-26,/2007/04/26/renta-per-capita-vs-felicidad/,C,1,97,,Citas; Personas,
¿Qué es la estrategia funcional?,¿que-es-la-estrategia-funcional,2007-04-26,/2007/04/26/%c2%bfque-es-la-estrategia-funcional/,C,2,266,15,Empresa; Tecnología,
Carta de Bill Gates en favor del software propietario,carta-de-bill-gates-en-favor-del-software-propietario,2007-04-27,/2007/04/27/carta-de-bill-gates-en-favor-del-software-propietario/,B,3,621,3,Floss; Tecnología,
Definición de Auto-Regulación,definicion-de-auto-regulacion,2007-04-28,/2007/04/28/definicion-de-auto-regulacion/,C,2,127,24,Tecnología,
El avance de la tecnología,el-avance-de-la-tecnologia,2007-04-29,/2007/04/29/el-avance-de-la-tecnologia/,C,1,208,,Tecnología,
India y China ¿los dragones dormidos?,india-y-china-¿los-dragones-dormidos,2007-04-30,/2007/04/30/india-y-china-%c2%bflos-dragones-dormidos/,C,1,373,,Empresa,
¿Qué es un proceso?,¿que-es-un-proceso,2007-05-01,/2007/05/01/%c2%bfque-es-un-proceso/,C,,182,1,Tecnología,
¿Cuales son las 5 fuerzas de porter ?,¿cuales-son-las-5-fuerzas-de-porter,2007-05-03,/2007/05/03/%c2%bfcuales-son-las-5-fuerzas-de-porter/,C,1,437,,Empresa,
Decisiones difíciles. El poder decidir,decisiones-dificiles-el-poder-decidir,2007-05-03,/2007/05/03/decisiones-dificiles-el-poder-decidir/,C,2,251,4,Empresa,
¿ Es importante el contrato psicológico con un trabajador ?,¿-es-importante-el-contrato-psicologico-con-un-trabajador,2007-05-04,/2007/05/04/%c2%bf-es-importante-el-contrato-psicologico-con-un-trabajador/,C,1,357,,Empresa; Personas,
¿Qué es la cultura de empresa ?,¿que-es-la-cultura-de-empresa,2007-05-06,/2007/05/06/%c2%bfque-es-la-cultura-de-empresa/,C,2,105,3,Empresa; Personas,
Las empresas y los blogs personales,las-empresas-y-los-blogs-personales,2007-05-06,/2007/05/06/las-empresas-y-los-blogs-personales/,C,1,286,,Tecnología,
Los Problemas de innovación en España,problemas-innovacion-en-espana,2007-05-07,/2007/05/07/problemas-innovacion-en-espana/,C,1,369,,Tecnología,
Medidas para mejorar los indicadores de innovación en España,medidas-para-mejorar-los-indicadores-de-innovacion-en-espana,2007-05-08,/2007/05/08/medidas-para-mejorar-los-indicadores-de-innovacion-en-espana/,C,1,194,,Empresa; Tecnología,
El blog y las photos,el-blog-y-las-photos,2007-05-08,/2007/05/08/el-blog-y-las-photos/,C,1,97,,Tecnología,
